omega	Omega_origin	r	r_origin	d(omega)	d(r)	d(omega-r)
0.0	0.01403370786516853	0.01	0.022448276543749954	0.01403370786516853	0.012448276543749954	0.026481984408918482
0.1	0.11403370786516853	0.01	0.02242281784213296	0.014033707865168527	0.012422817842132962	0.02645652570730149
0.2	0.21417045454545452	0.01	0.02210209894892513	0.014170454545454514	0.01210209894892513	0.026272553494379645
0.3	0.3141590909090909	0.01	0.022136214504262917	0.014159090909090899	0.012136214504262917	0.026295305413353814
0.4	0.41431034482758616	0.01	0.021770660639047982	0.014310344827586141	0.011770660639047982	0.026081005466634125
0.5	0.5142873563218393	0.01	0.021811207341322015	0.014287356321839306	0.011811207341322015	0.026098563663161323
0.6	0.6144418604651162	0.01	0.021485037977621472	0.014441860465116196	0.011485037977621472	0.02592689844273767
0.7	0.7143953488372091	0.01	0.02147700173824946	0.014395348837209165	0.01147700173824946	0.025872350575458627
0.8	0.8145999999999999	0.01	0.021113172720286896	0.014599999999999835	0.011113172720286895	0.025713172720286732
0.9	0.914623529411765	0.01	0.021029356496476772	0.014623529411764924	0.011029356496476772	0.025652885908241697
1.0	1.0146117647058823	0.01	0.020983202527329214	0.014611764705882324	0.010983202527329214	0.025594967233211537
1.1	1.1147857142857145	0.01	0.02069433074447451	0.014785714285714402	0.01069433074447451	0.025480045030188914
1.2	1.2147738095238094	0.01	0.020621637130995615	0.014773809523809467	0.010621637130995615	0.02539544665480508
1.3	1.314903614457831	0.01	0.020367719317316228	0.01490361445783095	0.010367719317316228	0.025271333775147176
1.4	1.4149036144578313	0.01	0.020311551073102455	0.014903614457831393	0.010311551073102455	0.02521516553093385
1.5	1.5150487804878046	0.01	0.020024924569372465	0.015048780487804558	0.010024924569372465	0.025073705057177022
1.6	1.6149878048780495	0.01	0.020036211099627648	0.014987804878049404	0.010036211099627648	0.025024015977677054
1.7	1.715148148148148	0.01	0.019723129203183427	0.015148148148148133	0.009723129203183427	0.024871277351331558
1.8	1.8150864197530863	0.01	0.0197341777940828	0.015086419753086222	0.009734177794082801	0.024820597547169025
1.9	1.915237500000001	0.01	0.019482981844977997	0.015237500000001125	0.009482981844977997	0.024720481844979124
2.0	2.015262499999999	0.01	0.01936745927544863	0.015262499999999068	0.009367459275448629	0.0246299592754477
2.1	2.1154430379746842	0.01	0.019033557141199833	0.01544303797468416	0.009033557141199832	0.024476595115883994
2.2	2.2154303797468353	0.01	0.018984310248246417	0.015430379746835143	0.008984310248246417	0.024414689995081562
2.3	2.315602564102564	0.01	0.018647935101925903	0.01560256410256411	0.008647935101925902	0.02425049920449001
2.4	2.415538461538463	0.01	0.018667598589962715	0.015538461538463277	0.008667598589962714	0.024206060128425994
2.5	2.5157142857142842	0.01	0.01832232346554846	0.015714285714284237	0.008322323465548459	0.024036609179832698
2.6	2.6156363636363644	0.01	0.018368767514824004	0.015636363636364337	0.008368767514824004	0.02400513115118834
2.7	2.715802631578946	0.01	0.018082215661582277	0.015802631578945903	0.008082215661582277	0.02388484724052818
