omega	Omega_origin	r	r_origin	d(omega)	d(r)	d(omega-r)
0.0	0.015073684210526305	0.01	0.02397099821593571	0.015073684210526305	0.01397099821593571	0.029044682426462014
0.1	0.11503157894736844	0.01	0.024006226855490344	0.015031578947368437	0.014006226855490344	0.02903780580285878
0.2	0.21504210526315784	0.01	0.0239499962174711	0.015042105263157829	0.013949996217471101	0.028992101480628932
0.3	0.315159574468085	0.01	0.023690412604862935	0.015159574468085024	0.013690412604862935	0.02884998707294796
0.4	0.41514893617021276	0.01	0.023637715033133933	0.015148936170212735	0.013637715033133933	0.02878665120334667
0.5	0.5153763440860215	0.01	0.02324320858074622	0.01537634408602151	0.01324320858074622	0.02861955266676773
0.6	0.6153655913978494	0.01	0.02324599291850419	0.015365591397849432	0.01324599291850419	0.02861158431635362
0.7	0.715554347826087	0.01	0.022827452668527686	0.015554347826087	0.012827452668527686	0.028381800494614688
0.8	0.815532608695652	0.01	0.02281650593036225	0.015532608695651984	0.01281650593036225	0.028349114626014235
0.9	0.9156703296703292	0.01	0.022536088827810278	0.01567032967032922	0.012536088827810278	0.0282064184981395
1.0	1.0156703296703298	0.01	0.022488648954851188	0.015670329670329775	0.012488648954851187	0.028158978625180964
1.1	1.1158222222222227	0.01	0.02215937159148911	0.015822222222222626	0.012159371591489108	0.027981593813711736
1.2	1.2157777777777778	0.01	0.022174973573070172	0.01577777777777789	0.012174973573070172	0.027952751350848064
1.3	1.3159213483146068	0.01	0.021916858152182413	0.015921348314606787	0.011916858152182413	0.027838206466789202
1.4	1.415842696629214	0.01	0.021960836290827856	0.015842696629214004	0.011960836290827856	0.02780353292004186
1.5	1.5160340909090906	0.01	0.02156525240923883	0.01603409090909058	0.01156525240923883	0.02759934331832941
1.6	1.6162183908045968	0.01	0.02121700711613101	0.01621839080459675	0.01121700711613101	0.027435397920727758
1.7	1.716241379310344	0.01	0.021137439984238778	0.016241379310343973	0.011137439984238778	0.027378819294582753
1.8	1.8163953488372098	0.01	0.02079787257341323	0.016395348837209722	0.010797872573413228	0.02719322141062295
1.9	1.9163837209302315	0.01	0.020762772113189037	0.01638372093023155	0.010762772113189037	0.027146493043420587
2.0	2.0164941176470585	0.01	0.02053578784014211	0.016494117647058548	0.010535787840142108	0.027029905487200655
2.1	2.11649411764706	0.01	0.020497438612092866	0.01649411764705988	0.010497438612092866	0.026991556259152748
2.2	2.2166190476190457	0.01	0.020164647896947198	0.016619047619045535	0.010164647896947198	0.02678369551599273
2.3	2.316595238095239	0.01	0.02018545511503667	0.016595238095239218	0.010185455115036669	0.026780693210275888
2.4	2.4166867469879505	0.01	0.019945633647440696	0.016686746987950585	0.009945633647440695	0.02663238063539128
2.5	2.5166746987951805	0.01	0.01990056598294755	0.016674698795180465	0.009900565982947548	0.026575264778128015
2.6	2.6167926829268304	0.01	0.019667042419368338	0.016792682926830338	0.009667042419368338	0.026459725346198677
2.7	2.716792682926828	0.01	0.019555280401028604	0.016792682926827673	0.009555280401028604	0.02634796332785628
2.8	2.8169629629629642	0.01	0.019228576014345956	0.0169629629629644	0.009228576014345955	0.026191538977310358
2.9	2.9171249999999986	0.01	0.018907832345889254	0.017124999999998725	0.008907832345889254	0.026032832345887977
3.0	3.0171000000000006	0.01	0.01883458578516182	0.01710000000000056	0.008834585785161818	0.025934585785162376
3.1	3.1172278481012663	0.01	0.01858448818770609	0.017227848101266208	0.00858448818770609	0.025812336288972296
3.2	3.217202531645568	0.01	0.01855931018655444	0.01720253164556773	0.00855931018655444	0.02576184183212217
3.3	3.3173333333333357	0.01	0.018288101181110357	0.017333333333335865	0.008288101181110357	0.02562143451444622
3.4	3.4172564102564094	0.01	0.018319809952046788	0.01725641025640945	0.008319809952046788	0.025576220208456235
3.5	3.517389610389611	0.01	0.018054752256427085	0.017389610389610954	0.008054752256427085	0.02544436264603804
3.6	3.6175394736842095	0.01	0.01772127594318123	0.017539473684209383	0.007721275943181229	0.02526074962739061
3.7	3.717460526315788	0.01	0.017753027295682317	0.01746052631578765	0.007753027295682316	0.025213553611469965
3.8	3.8175866666666693	0.01	0.017476890673471784	0.017586666666669526	0.0074768906734717835	0.02506355734014131
3.9	3.9175599999999986	0.01	0.017415591725315108	0.017559999999998688	0.0074155917253151075	0.024975591725313794
4.0	4.017729729729731	0.01	0.017097275986648043	0.01772972972973097	0.007097275986648043	0.02482700571637901
4.1	4.117863013698629	0.01	0.016829835480841028	0.017863013698629082	0.006829835480841028	0.02469284917947011
4.2	4.217808219178081	0.01	0.016804486551714022	0.01780821917808062	0.006804486551714022	0.02461270572979464
4.3	4.317972222222225	0.01	0.016475223015486547	0.017972222222224943	0.0064752230154865465	0.024447445237711488
4.4	4.418112676056336	0.01	0.016134853198089036	0.018112676056335708	0.006134853198089036	0.024247529254424742
4.5	4.518000000000001	0.01	0.016244477871952902	0.018000000000000682	0.006244477871952902	0.024244477871953586
4.6	4.618142857142858	0.01	0.015938793451190977	0.018142857142858126	0.0059387934511909764	0.024081650594049105
4.7	4.718275362318841	0.01	0.015661984734351254	0.01827536231884075	0.0056619847343512535	0.023937347053192004
4.8	4.818159420289857	0.01	0.015731693102097377	0.018159420289856953	0.005731693102097377	0.02389111339195433
4.9	4.918250000000001	0.01	0.015506227411711804	0.018250000000000988	0.005506227411711804	0.023756227411712794
5.0	5.018176470588236	0.01	0.01549818715870128	0.01817647058823635	0.005498187158701279	0.023674657746937628
5.1	5.1182835820895525	0.01	0.015270629123473494	0.01828358208955283	0.005270629123473494	0.023554211213026324
5.2	5.218530303030303	0.01	0.014792775846350205	0.01853030303030323	0.004792775846350204	0.023323078876653434
5.3	5.3186923076923085	0.01	0.014463722236181871	0.018692307692308674	0.004463722236181871	0.023156029928490543
5.4	5.418538461538463	0.01	0.014569739205322282	0.018538461538462947	0.0045697392053222815	0.02310820074378523
5.5	5.518703125	0.01	0.014233015304059632	0.018703125000000043	0.004233015304059631	0.022936140304059674
5.6	5.618825396825397	0.01	0.013977154857869233	0.018825396825397078	0.003977154857869232	0.02280255168326631
5.7	5.718650793650796	0.01	0.01403293172898175	0.018650793650795805	0.00403293172898175	0.022683725379777555
5.8	5.818806451612901	0.01	0.013740477896461337	0.018806451612901398	0.0037404778964613365	0.022546929509362733
5.9	5.91893442622951	0.01	0.013464289541611234	0.01893442622950925	0.003464289541611234	0.022398715771120483
6.0	6.019049999999998	0.01	0.013170553451212893	0.019049999999998235	0.003170553451212893	0.022220553451211128
6.1	6.118883333333333	0.01	0.013291932209137854	0.01888333333333314	0.0032919322091378538	0.022175265542470995
6.2	6.219000000000002	0.01	0.013042399344234462	0.019000000000001904	0.0030423993442344616	0.022042399344236366
6.3	6.31910344827586	0.01	0.012766174170267592	0.019103448275860302	0.0027661741702675914	0.021869622446127893
6.4	6.41919298245614	0.01	0.01257600495317056	0.019192982456139873	0.0025760049531705596	0.021768987409310433
6.5	6.519339285714286	0.01	0.012221015359587573	0.01933928571428556	0.002221015359587573	0.021560301073873134
6.6	6.6191964285714295	0.01	0.012197411477851965	0.01919642857142989	0.0021974114778519644	0.021393840049281854
6.7	6.719345454545455	0.01	0.011908707998173904	0.019345454545455	0.0019087079981739037	0.021254162543628902
6.8	6.819462962962961	0.01	0.011645217094550334	0.019462962962960795	0.0016452170945503337	0.02110818005751113
6.9	6.919584905660379	0.01	0.011349552909118384	0.019584905660378737	0.0013495529091183834	0.02093445856949712
7.0	7.019596153846155	0.01	0.011195067288883847	0.019596153846155318	0.0011950672888838467	0.020791221135039166
7.1	7.1197254901960765	0.01	0.010927883047934154	0.019725490196076834	0.000927883047934154	0.020653373244010988
7.2	7.2194705882352945	0.01	0.0109583269589858	0.01947058823529435	0.0009583269589857994	0.02042891519428015
7.3	7.31952	0.01	0.01076161495768522	0.019519999999999982	0.0007616149576852201	0.020281614957685202
7.4	7.419591836734695	0.01	0.010571507903887943	0.019591836734695	0.0005715079038879425	0.020163344638582943
7.5	7.519666666666665	0.01	0.010304253331408029	0.019666666666664945	0.0003042533314080286	0.019970919998072975
7.6	7.6197446808510625	0.01	0.010110029326035856	0.019744680851062846	0.00011002932603585563	0.0198547101770987
7.7	7.7197826086956525	0.01	0.009924413810015775	0.019782608695652293	7.558618998422528e-05	0.019858194885636518
7.8	7.819822222222222	0.01	0.009696705667617489	0.019822222222222408	0.00030329433238251123	0.02012551655460492
7.9	7.919954545454547	0.01	0.009322083959643325	0.01995454545454667	0.0006779160403566752	0.020632461494903345
8.0	8.01993023255814	0.01	0.009152177548491281	0.019930232558140304	0.0008478224515087191	0.02077805500964902
8.1	8.11997619047619	0.01	0.008866136699782104	0.019976190476191036	0.0011338633002178963	0.021110053776408934
8.2	8.21990243902439	0.01	0.008632251653625404	0.01990243902439026	0.001367748346374596	0.02127018737076486
8.3	8.320358974358975	0.01	0.008116572124205178	0.020358974358973825	0.001883427875794822	0.022242402234768647
8.4	8.420342105263158	0.01	0.00787624851455553	0.020342105263157606	0.0021237514854444695	0.022465856748602075
8.5	8.520351351351355	0.01	0.007668667479958794	0.020351351351354907	0.0023313325200412065	0.022682683871396114
8.6	8.620249999999999	0.01	0.007538784351945796	0.02024999999999899	0.002461215648054204	0.022711215648053194
8.7	8.720617647058827	0.01	0.007018513242815537	0.020617647058827515	0.002981486757184463	0.023599133816011978
8.8	8.820484848484847	0.01	0.006882634405648763	0.020484848484846552	0.003117365594351237	0.02360221407919779
8.9	8.92021875	0.01	0.006783737487674945	0.02021874999999973	0.003216262512325055	0.023435012512324785
9.0	9.0206	0.01	0.006262973362811682	0.02059999999999995	0.003737026637188318	0.02433702663718827
9.1	9.120310344827583	0.01	0.006121531527692595	0.02031034482758365	0.0038784684723074054	0.024188813299891053
9.2	9.22062962962963	0.01	0.005669289153804404	0.020629629629631552	0.004330710846195596	0.024960340475827146
9.3	9.320959999999998	0.01	0.00505588524024945	0.02095999999999698	0.00494411475975055	0.02590411475974753
9.4	9.421086956521739	0.01	0.0045747658559421945	0.021086956521738642	0.005425234144057806	0.026512190665796447
