omega	Omega_origin	r	r_origin	d(omega)	d(r)	d(omega-r)
0.0	0.01432967032967032	0.01	0.023015150287372693	0.01432967032967032	0.013015150287372693	0.027344820617043013
0.1	0.11434065934065933	0.01	0.022957504589492535	0.014340659340659326	0.012957504589492535	0.02729816393015186
0.2	0.21444444444444447	0.01	0.022729811583790085	0.014444444444444454	0.012729811583790085	0.02717425602823454
0.3	0.31450000000000006	0.01	0.022640870060501552	0.014500000000000068	0.012640870060501552	0.027140870060501622
0.4	0.41467415730337087	0.01	0.02230536898502834	0.01467415730337085	0.012305368985028339	0.02697952628839919
0.5	0.514685393258427	0.01	0.022195081220043336	0.014685393258426993	0.012195081220043336	0.026880474478470327
0.6	0.6148522727272728	0.01	0.021897932802178638	0.014852272727272853	0.011897932802178638	0.02675020552945149
0.7	0.714840909090909	0.01	0.021849438852170215	0.014840909090909071	0.011849438852170215	0.026690347943079284
0.8	0.8148181818181818	0.01	0.021836130977028894	0.01481818181818173	0.011836130977028894	0.026654312795210626
0.9	0.9149885057471263	0.01	0.021501628313920232	0.01498850574712629	0.011501628313920232	0.02649013406104652
1.0	1.0149195402298847	0.01	0.0215774640696511	0.014919540229884731	0.011577464069651098	0.02649700429953583
1.1	1.1150930232558136	0.01	0.021237861637116367	0.01509302325581352	0.011237861637116367	0.02633088489292989
1.2	1.2150581395348838	0.01	0.021252124894616888	0.015058139534883885	0.011252124894616888	0.026310264429500775
1.3	1.3151882352941182	0.01	0.020956168341918276	0.015188235294118169	0.010956168341918275	0.026144403636036442
1.4	1.4151529411764705	0.01	0.02095565371763088	0.015152941176470591	0.01095565371763088	0.026108594894101472
1.5	1.515404761904762	0.01	0.02048312934808486	0.015404761904761921	0.010483129348084859	0.02588789125284678
1.6	1.615357142857142	0.01	0.020529465449763477	0.015357142857141959	0.010529465449763476	0.025886608306905437
1.7	1.715530120481927	0.01	0.020181788747410247	0.015530120481927145	0.010181788747410247	0.025711909229337394
1.8	1.815493975903614	0.01	0.020169695376902188	0.015493975903613899	0.010169695376902188	0.02566367128051609
1.9	1.9156707317073176	0.01	0.019839595704226814	0.015670731707317698	0.009839595704226814	0.025510327411544513
2.0	2.015621951219513	0.01	0.019841279388078486	0.01562195121951282	0.009841279388078486	0.025463230607591307
2.1	2.115765432098764	0.01	0.019536402759380175	0.01576543209876391	0.009536402759380174	0.025301834858144086
2.2	2.2157283950617295	0.01	0.01951991138746826	0.015728395061729294	0.00951991138746826	0.025248306449197552
2.3	2.3158874999999983	0.01	0.01921846201980886	0.0158874999999985	0.009218462019808861	0.02510596201980736
2.4	2.415812500000001	0.01	0.01928074204368904	0.015812500000000895	0.009280742043689038	0.025093242043689935
2.5	2.515962025316455	0.01	0.01897538171182883	0.015962025316455186	0.008975381711828831	0.024937407028284016
2.6	2.616089743589742	0.01	0.01869730079597924	0.0160897435897418	0.00869730079597924	0.02478704438572104
2.7	2.7161538461538486	0.01	0.018541122206744434	0.016153846153848406	0.008541122206744434	0.024694968360592838
2.8	2.8162857142857125	0.01	0.01824517565315638	0.016285714285712682	0.008245175653156378	0.02453088993886906
2.9	2.916272727272729	0.01	0.01820402593248984	0.016272727272728993	0.00820402593248984	0.024476753205218832
3.0	3.016434210526315	0.01	0.01785640774875332	0.016434210526314885	0.00785640774875332	0.024290618275068204
3.1	3.1163684210526323	0.01	0.01793595062561743	0.016368421052632254	0.007935950625617428	0.024304371678249684
3.2	3.216506666666668	0.01	0.017637413412479472	0.01650666666666778	0.007637413412479472	0.02414408007914725
3.3	3.316453333333331	0.01	0.017651872013458195	0.01645333333333099	0.007651872013458195	0.024105205346789185
3.4	3.4166081081081097	0.01	0.017310345440633652	0.016608108108109754	0.007310345440633652	0.023918453548743404
3.5	3.5165405405405394	0.01	0.017331550135436382	0.01654054054053944	0.007331550135436382	0.023872090675975823
3.6	3.6166301369863016	0.01	0.017122068825476972	0.016630136986301558	0.007122068825476972	0.023752205811778532
3.7	3.7168194444444467	0.01	0.016750880540895435	0.016819444444446496	0.006750880540895435	0.02357032498534193
3.8	3.8167361111111098	0.01	0.016783817744024678	0.016736111111109953	0.006783817744024678	0.023519928855134632
3.9	3.9169154929577465	0.01	0.016474633033430656	0.016915492957746636	0.006474633033430656	0.02339012599117729
4.0	4.016859154929575	0.01	0.01645532411158899	0.016859154929575126	0.006455324111588988	0.023314479041164113
4.1	4.117042857142859	0.01	0.01609953882364697	0.017042857142858914	0.00609953882364697	0.023142395966505885
4.2	4.217202898550727	0.01	0.015772004951713235	0.01720289855072643	0.005772004951713235	0.022974903502439664
4.3	4.31710144927536	0.01	0.015839233817046966	0.01710144927536028	0.005839233817046966	0.022940683092407245
4.4	4.417264705882354	0.01	0.01551014191382214	0.017264705882353404	0.005510141913822139	0.022774847796175543
4.5	4.517176470588235	0.01	0.015539809713185328	0.017176470588235127	0.005539809713185328	0.022716280301420456
4.6	4.617328358208955	0.01	0.015254442452101283	0.017328358208954953	0.005254442452101283	0.022582800661056238
4.7	4.717454545454545	0.01	0.014964212045720786	0.0174545454545445	0.004964212045720786	0.022418757500265285
4.8	4.817333333333335	0.01	0.015087326188912252	0.017333333333334977	0.005087326188912252	0.022420659522247227
4.9	4.917476923076924	0.01	0.014778113900580939	0.01747692307692361	0.0047781139005809384	0.02225503697750455
5.0	5.01733846153846	0.01	0.014833923203359948	0.017338461538460415	0.004833923203359947	0.022172384741820362
5.1	5.117515625	0.01	0.014528318475201153	0.01751562500000059	0.004528318475201153	0.022043943475201742
5.2	5.217650793650793	0.01	0.014188206451583273	0.017650793650792806	0.004188206451583272	0.021839000102376077
5.3	5.317587301587302	0.01	0.014212838522498841	0.017587301587302484	0.004212838522498841	0.021800140109801323
5.4	5.417725806451614	0.01	0.013916814306499176	0.01772580645161348	0.003916814306499176	0.021642620758112657
5.5	5.517918032786884	0.01	0.013551933368066852	0.017918032786884197	0.0035519333680668515	0.02146996615495105
5.6	5.617770491803278	0.01	0.013596346124214065	0.01777049180327861	0.0035963461242140646	0.021366837927492673
5.7	5.7178666666666675	0.01	0.013386817883549357	0.017866666666667363	0.0033868178835493572	0.021253484550216722
5.8	5.818050847457628	0.01	0.013015843053620017	0.018050847457628194	0.003015843053620017	0.02106669051124821
5.9	5.918189655172414	0.01	0.012733491834319495	0.018189655172413666	0.002733491834319495	0.02092314700673316
6.0	6.018034482758621	0.01	0.012835361557822247	0.01803448275862074	0.0028353615578222465	0.02086984431644299
6.1	6.118157894736843	0.01	0.012562509693670629	0.01815789473684326	0.002562509693670629	0.02072040443051389
6.2	6.218267857142857	0.01	0.012340601241811475	0.018267857142856947	0.002340601241811475	0.020608458384668422
6.3	6.318363636363637	0.01	0.012083173705174354	0.018363636363637248	0.0020831737051743536	0.0204468100688116
6.4	6.418236363636363	0.01	0.012136845925916679	0.018236363636362718	0.0021368459259166785	0.020373209562279396
6.5	6.518296296296298	0.01	0.011913356413436566	0.01829629629629803	0.001913356413436566	0.0202096527097346
