omega	Omega_origin	r	r_origin	d(omega)	d(r)	d(omega-r)
0.0	0.016165048543689307	0.01	0.025922971497703243	0.016165048543689307	0.01592297149770324	0.03208802004139255
0.1	0.11634313725490197	0.01	0.025547434472448546	0.016343137254901968	0.015547434472448546	0.03189057172735051
0.2	0.21633333333333335	0.01	0.025568161747086635	0.01633333333333334	0.015568161747086634	0.03190149508041997
0.3	0.31649504950495055	0.01	0.025248521248445097	0.016495049504950565	0.015248521248445097	0.031743570753395664
0.4	0.4164653465346535	0.01	0.025220926255377855	0.01646534653465348	0.015220926255377855	0.03168627279003133
0.5	0.5166200000000001	0.01	0.02490830165358883	0.01662000000000008	0.01490830165358883	0.03152830165358891
0.6	0.6165799999999999	0.01	0.024897868202038792	0.016579999999999928	0.014897868202038792	0.03147786820203872
0.7	0.716737373737374	0.01	0.02456204856065962	0.01673737373737405	0.014562048560659619	0.03129942229803367
0.8	0.8166868686868689	0.01	0.024590301593433835	0.01668686868686886	0.014590301593433835	0.0312771702803027
0.9	0.9168571428571429	0.01	0.02428120759566337	0.016857142857142904	0.014281207595663368	0.031138350452806274
1.0	1.0168877551020408	0.01	0.024177666642263493	0.01688775510204077	0.014177666642263493	0.03106542174430426
1.1	1.1170721649484534	0.01	0.023803648399153242	0.017072164948453317	0.013803648399153242	0.030875813347606557
1.2	1.217041237113402	0.01	0.02377867099731597	0.017041237113402108	0.013778670997315971	0.03081990811071808
1.3	1.31721875	0.01	0.0234417801904448	0.01721875000000006	0.013441780190444801	0.03066053019044486
1.4	1.4173368421052628	0.01	0.023180612055282324	0.017336842105262873	0.013180612055282323	0.030517454160545195
1.5	1.5173157894736846	0.01	0.02320091519556787	0.017315789473684617	0.01320091519556787	0.030516704669252485
1.6	1.6174574468085103	0.01	0.02285673528261241	0.017457446808510246	0.012856735282612409	0.030314182091122653
1.7	1.7174255319148932	0.01	0.022882744532795537	0.017425531914893266	0.012882744532795537	0.030308276447688805
1.8	1.8175483870967755	0.01	0.022564633089832493	0.01754838709677542	0.012564633089832493	0.030113020186607914
1.9	1.9175161290322569	0.01	0.02255060581913315	0.017516129032256966	0.012550605819133151	0.030066734851390116
2.0	2.0177065217391315	0.01	0.022171144566433505	0.017706521739131453	0.012171144566433504	0.02987766630556496
2.1	2.117901098901099	0.01	0.021800637680240244	0.017901098901099033	0.011800637680240244	0.029701736581339275
2.2	2.217846153846153	0.01	0.02184005749990678	0.017846153846152735	0.011840057499906778	0.02968621134605951
2.3	2.3180000000000023	0.01	0.021494509882092522	0.01800000000000246	0.011494509882092522	0.029494509882094982
2.4	2.417955555555554	0.01	0.02152816429073565	0.01795555555555417	0.01152816429073565	0.02948371984628982
2.5	2.5181011235955064	0.01	0.021161670772935497	0.01810112359550642	0.011161670772935497	0.029262794368441918
2.6	2.618044943820225	0.01	0.021177279466314213	0.018044943820224812	0.011177279466314213	0.029222223286539027
2.7	2.7181818181818174	0.01	0.02088638352037754	0.01818181818181719	0.010886383520377541	0.029068201702194728
2.8	2.8183563218390812	0.01	0.020554845372365124	0.018356321839081424	0.010554845372365123	0.02891116721144655
2.9	2.9182413793103437	0.01	0.02065435473124574	0.018241379310343753	0.01065435473124574	0.028895734041589495
3.0	3.0184186046511634	0.01	0.020308359658109752	0.018418604651163406	0.010308359658109752	0.028726964309273156
3.1	3.1185764705882355	0.01	0.01997670989014312	0.018576470588235416	0.009976709890143121	0.028553180478378536
3.2	3.218552941176469	0.01	0.019933343247263036	0.018552941176468885	0.009933343247263035	0.028486284423731918
3.3	3.3187261904761907	0.01	0.019588641817360777	0.01872619047619084	0.009588641817360776	0.02831483229355162
3.4	3.4186428571428555	0.01	0.01958888281045665	0.01864285714285563	0.009588882810456651	0.028231739953312282
3.5	3.5187831325301215	0.01	0.0193225166896998	0.018783132530121538	0.009322516689699798	0.028105649219821338
3.6	3.6189390243902437	0.01	0.018979779649271934	0.01893902439024364	0.008979779649271933	0.027918804039515577
3.7	3.7188292682926822	0.01	0.019078370732653983	0.018829268292682055	0.009078370732653983	0.027907639025336037
3.8	3.8189876543209893	0.01	0.018753948229236574	0.018987654320989478	0.008753948229236573	0.02774160255022605
3.9	3.919099999999999	0.01	0.01846114324956419	0.019099999999999007	0.008461143249564191	0.0275611432495632
4.0	4.019025000000001	0.01	0.018511822621059965	0.019025000000000958	0.008511822621059964	0.02753682262106092
4.1	4.119177215189873	0.01	0.01817286457157208	0.01917721518987303	0.008172864571572082	0.027350079761445115
4.2	4.219320512820512	0.01	0.017881785297651484	0.019320512820511837	0.007881785297651484	0.02720229811816332
4.3	4.319294871794871	0.01	0.017810356160739886	0.019294871794871327	0.007810356160739886	0.02710522795561121
4.4	4.419402597402598	0.01	0.017546635067240867	0.019402597402597976	0.007546635067240867	0.026949232469838845
4.5	4.519565789473686	0.01	0.017210825482662288	0.01956578947368559	0.0072108254826622874	0.02677661495634788
4.6	4.619421052631578	0.01	0.017314427766514567	0.01942105263157856	0.007314427766514567	0.026735480398093127
4.7	4.719560000000001	0.01	0.017023245491592193	0.019560000000001132	0.007023245491592193	0.026583245491593327
4.8	4.819716216216216	0.01	0.01668198784655055	0.01971621621621633	0.0066819878465505505	0.026398204062766883
4.9	4.919849315068495	0.01	0.016417601827192863	0.019849315068494633	0.006417601827192863	0.026266916895687498
5.0	5.019671232876709	0.01	0.01655258339118145	0.0196712328767088	0.006552583391181451	0.02622381626789025
5.1	5.119861111111111	0.01	0.016173091713732476	0.019861111111111107	0.006173091713732476	0.02603420282484358
5.2	5.219971830985917	0.01	0.015888301065766615	0.019971830985916483	0.005888301065766615	0.025860132051683096
5.3	5.319774647887321	0.01	0.016055370366774353	0.019774647887321528	0.006055370366774353	0.02583001825409588
5.4	5.4200000000000035	0.01	0.015625020889517848	0.020000000000003126	0.005625020889517848	0.025625020889520976
5.5	5.520144927536229	0.01	0.01534179741177002	0.020144927536229318	0.00534179741177002	0.025486724947999338
5.6	5.62025	0.01	0.015047726779607527	0.020250000000000767	0.005047726779607527	0.025297726779608294
5.7	5.720388059701492	0.01	0.014740591851924483	0.02038805970149138	0.004740591851924483	0.025128651553415864
5.8	5.820238805970149	0.01	0.01480210694847828	0.020238805970149265	0.004802106948478279	0.025040912918627544
5.9	5.920363636363637	0.01	0.014530984068724061	0.020363636363637028	0.004530984068724061	0.02489462043236109
6.0	6.020446153846153	0.01	0.014264031273559807	0.020446153846153337	0.0042640312735598065	0.024710185119713145
6.1	6.120593750000002	0.01	0.013996033337350527	0.02059375000000241	0.003996033337350527	0.024589783337352934
6.2	6.220650793650795	0.01	0.013811129607190225	0.020650793650794697	0.003811129607190225	0.02446192325798492
6.3	6.320460317460317	0.01	0.013865440883907837	0.020460317460317512	0.003865440883907837	0.02432575834422535
6.4	6.420548387096775	0.01	0.013578109996549003	0.020548387096774867	0.0035781099965490025	0.02412649709332387
6.5	6.5206557377049155	0.01	0.013390634482462997	0.020655737704915467	0.0033906344824629966	0.024046372187378463
6.6	6.620833333333334	0.01	0.012964762750929032	0.020833333333333925	0.0029647627509290318	0.023798096084262955
6.7	6.720898305084744	0.01	0.01274907107002055	0.020898305084743996	0.0027490710700205506	0.023647376154764546
6.8	6.820982758620689	0.01	0.012507195865601903	0.02098275862068899	0.002507195865601903	0.023489954486290893
6.9	6.921087719298247	0.01	0.012229326587235738	0.021087719298246377	0.0022293265872357377	0.023317045885482113
7.0	7.021249999999996	0.01	0.011880189746322219	0.021249999999995772	0.0018801897463222184	0.02313018974631799
7.1	7.121290909090912	0.01	0.01168848166788628	0.021290909090912358	0.0016884816678862796	0.022979390758798637
7.2	7.221351851851853	0.01	0.011453927123845844	0.021351851851853176	0.001453927123845844	0.02280577897569902
7.3	7.321396226415093	0.01	0.011226841274744055	0.02139622641509309	0.001226841274744055	0.022623067689837142
7.4	7.421403846153845	0.01	0.011052598074153543	0.021403846153845052	0.0010525980741535428	0.022456444227998595
7.5	7.52150980392157	0.01	0.010782700683333804	0.021509803921570203	0.0007827006833338035	0.022292504604904007
7.6	7.621540000000001	0.01	0.010584622064598061	0.02154000000000167	0.0005846220645980612	0.022124622064599732
7.7	7.721551020408162	0.01	0.010424390759312379	0.021551020408161925	0.0004243907593123788	0.021975411167474306
7.8	7.821625	0.01	0.010126736986432773	0.021625000000000227	0.00012673698643277283	0.021751736986433
7.9	7.921617021276594	0.01	0.009922565102838869	0.021617021276593817	7.743489716113133e-05	0.02169445617375495
8.0	8.021673913043479	0.01	0.009637692052915115	0.021673913043478876	0.0003623079470848854	0.02203622099056376
8.1	8.121666666666668	0.01	0.009435591309943526	0.021666666666668277	0.0005644086900564744	0.02223107535672475
8.2	8.221545454545458	0.01	0.00929265101765359	0.021545454545458753	0.0007073489823464108	0.022252803527805162
8.3	8.32207142857143	0.01	0.008594615942985863	0.022071428571429408	0.0014053840570141373	0.023476812628443547
8.4	8.421999999999997	0.01	0.008441059355204809	0.02199999999999669	0.0015589406447951912	0.02355894064479188
8.5	8.521800000000002	0.01	0.00837044502132353	0.021800000000002484	0.0016295549786764698	0.023429554978678956
8.6	8.622289473684209	0.01	0.00772108459822272	0.02228947368420897	0.00227891540177728	0.024568389085986252
8.7	8.72210810810811	0.01	0.007640574984253276	0.022108108108110258	0.0023594250157467243	0.024467533123856983
8.8	8.82186111111111	0.01	0.007527583444072552	0.02186111111110911	0.002472416555927448	0.02433352766703656
8.9	8.92220588235294	0.01	0.007018607508972285	0.02220588235294052	0.0029813924910277153	0.025187274843968235
9.0	9.021757575757576	0.01	0.0070137351213809635	0.021757575757575864	0.0029862648786190367	0.024743840636194902
9.1	9.12209677419355	0.01	0.006494502860984916	0.022096774193549606	0.003505497139015084	0.02560227133256469
9.2	9.222310344827587	0.01	0.005925415943768883	0.02231034482758787	0.004074584056231117	0.026384928883818985
9.3	9.322444444444441	0.01	0.005504298132245693	0.022444444444440492	0.004495701867754307	0.0269401463121948
9.4	9.4224	0.01	0.00508346376798351	0.02239999999999931	0.00491653623201649	0.027316536232015798
9.5	9.522434782608698	0.01	0.004623720476049484	0.022434782608698356	0.005376279523950516	0.027811062132648872
9.6	9.621857142857142	0.01	0.004357577904070827	0.02185714285714191	0.005642422095929173	0.02749956495307108
9.7	9.722055555555555	0.01	0.0037347131801662905	0.022055555555555273	0.00626528681983371	0.028320842375388983
9.8	9.8212	0.01	0.0032917928935691635	0.021199999999998553	0.006708207106430837	0.02790820710642939
