omega	Omega_origin	r	r_origin	d(omega)	d(r)	d(omega-r)
0.0	0.014720430107526866	0.01	0.02349654311771203	0.014720430107526866	0.013496543117712029	0.028216973225238896
0.1	0.11474193548387096	0.01	0.023441471431939757	0.014741935483870955	0.013441471431939757	0.028183406915810713
0.2	0.21491304347826093	0.01	0.023051635278585735	0.014913043478260918	0.013051635278585735	0.027964678756846655
0.3	0.314858695652174	0.01	0.02312754041698783	0.014858695652174014	0.013127540416987831	0.027986236069161848
0.4	0.4150439560439561	0.01	0.02274994354104217	0.015043956043956086	0.01274994354104217	0.027793899584998255
0.5	0.515010989010989	0.01	0.022752751512588227	0.015010989010988962	0.012752751512588227	0.02776374052357719
0.6	0.6149999999999999	0.01	0.022722477305961185	0.014999999999999902	0.012722477305961185	0.027722477305961085
0.7	0.7151222222222222	0.01	0.0224489965646199	0.015122222222222259	0.012448996564619898	0.027571218786842155
0.8	0.8150888888888888	0.01	0.022477819215719147	0.015088888888888707	0.012477819215719147	0.027566708104607852
0.9	0.9152584269662921	0.01	0.02215613394452702	0.015258426966292093	0.01215613394452702	0.027414560910819112
1.0	1.0153033707865167	0.01	0.021978684062430434	0.015303370786516668	0.011978684062430434	0.0272820548489471
1.1	1.115465909090909	0.01	0.021705645778206432	0.015465909090908836	0.011705645778206432	0.027171554869115266
1.2	1.215465909090909	0.01	0.021633606207003792	0.015465909090909058	0.011633606207003792	0.027099515297912852
1.3	1.3156436781609195	0.01	0.021287269488887223	0.015643678160919494	0.011287269488887223	0.02693094764980672
1.4	1.415586206896552	0.01	0.021321320922330963	0.01558620689655199	0.011321320922330963	0.026907527818882955
1.5	1.5157558139534886	0.01	0.020979134589284708	0.015755813953488573	0.010979134589284708	0.02673494854277328
1.6	1.6156744186046517	0.01	0.021042014513273255	0.015674418604651574	0.011042014513273255	0.026716433117924827
1.7	1.7158470588235293	0.01	0.02072901711901384	0.015847058823529325	0.010729017119013839	0.026576075942543166
1.8	1.8158000000000003	0.01	0.02067536036697683	0.01580000000000026	0.010675360366976831	0.02647536036697709
1.9	1.9159404761904748	0.01	0.020446194985891394	0.015940476190474895	0.010446194985891393	0.02638667117636629
2.0	2.0160843373493993	0.01	0.020107022795470993	0.01608433734939929	0.010107022795470993	0.026191360144870286
2.1	2.116096385542166	0.01	0.02008489033876045	0.01609638554216586	0.010084890338760451	0.026181275880926308
2.2	2.216268292682927	0.01	0.019693587852291118	0.016268292682926955	0.009693587852291118	0.02596188053521807
2.3	2.3162804878048786	0.01	0.019654878559655385	0.016280487804878785	0.009654878559655385	0.025935366364534168
2.4	2.416395061728394	0.01	0.0193733097598794	0.01639506172839411	0.0093733097598794	0.02576837148827351
2.5	2.516382716049384	0.01	0.01935790177603822	0.016382716049383905	0.00935790177603822	0.025740617825422127
2.6	2.6164999999999994	0.01	0.019066381560118327	0.016499999999999293	0.009066381560118327	0.025566381560117618
2.7	2.716487500000001	0.01	0.019038421666944104	0.016487500000000654	0.009038421666944104	0.025525921666944756
2.8	2.816620253164557	0.01	0.018717794513055018	0.016620253164557397	0.008717794513055018	0.025338047677612413
2.9	2.916556962025316	0.01	0.01880552155184546	0.01655696202531587	0.00880552155184546	0.02536248357716133
3.0	3.016692307692309	0.01	0.018522550352973597	0.016692307692308894	0.008522550352973597	0.025214858045282493
3.1	3.116615384615383	0.01	0.01851988054565867	0.016615384615382922	0.00851988054565867	0.025135265161041594
3.2	3.216766233766235	0.01	0.01822161931345475	0.016766233766234873	0.00822161931345475	0.02498785307968962
3.3	3.3169736842105264	0.01	0.017874419533136243	0.016973684210526585	0.007874419533136242	0.02484810374366283
3.4	3.416934210526316	0.01	0.017798168564383397	0.01693421052631594	0.007798168564383397	0.024732379090699336
3.5	3.5171333333333346	0.01	0.01742879252202558	0.017133333333334555	0.007428792522025581	0.024562125855360134
3.6	3.617026666666664	0.01	0.017509892882908093	0.01702666666666408	0.007509892882908093	0.024536559549572172
3.7	3.717202702702705	0.01	0.017195420282517894	0.01720270270270463	0.007195420282517894	0.024398122985222523
3.8	3.817342465753424	0.01	0.01688165772050556	0.01734246575342402	0.006881657720505559	0.024224123473929576
3.9	3.917287671232876	0.01	0.01685498939920902	0.017287671232876	0.006854989399209021	0.02414266063208502
4.0	4.0174166666666675	0.01	0.016615860368359648	0.017416666666667524	0.006615860368359648	0.024032527035027174
4.1	4.1173055555555536	0.01	0.01667124300252067	0.01730555555555391	0.00667124300252067	0.02397679855807458
4.2	4.2174929577464795	0.01	0.016316343929767125	0.0174929577464793	0.006316343929767125	0.023809301676246425
4.3	4.317585714285714	0.01	0.016084445152158778	0.017585714285714538	0.006084445152158778	0.023670159437873317
4.4	4.417514285714285	0.01	0.016130532603863185	0.017514285714284483	0.0061305326038631845	0.023644818318147666
4.5	4.517594202898554	0.01	0.015937403511400376	0.017594202898553846	0.005937403511400376	0.02353160640995422
4.6	4.617608695652171	0.01	0.015754213998496587	0.01760869565217149	0.005754213998496587	0.023362909650668076
4.7	4.717764705882356	0.01	0.015494200126114388	0.01776470588235579	0.0054942001261143875	0.02325890600847018
4.8	4.817895522388059	0.01	0.015142944780248248	0.01789552238805925	0.005142944780248248	0.023038467168307496
4.9	4.917835820895523	0.01	0.015141410378063082	0.017835820895522936	0.005141410378063082	0.022977231273586016
5.0	5.017969696969698	0.01	0.01486366431584212	0.017969696969697857	0.00486366431584212	0.022833361285539977
5.1	5.1181230769230766	0.01	0.014566565933815343	0.01812307692307691	0.004566565933815343	0.02268964285689225
5.2	5.21796923076923	0.01	0.014677909204909282	0.017969230769229405	0.0046779092049092814	0.022647139974138687
5.3	5.318109375000002	0.01	0.014370701559233826	0.018109375000002537	0.004370701559233825	0.02248007655923636
5.4	5.418238095238097	0.01	0.014115555626794197	0.01823809523809672	0.004115555626794196	0.022353650864890915
5.5	5.518111111111112	0.01	0.014128381178067653	0.018111111111111633	0.004128381178067653	0.022239492289179284
5.6	5.618241935483871	0.01	0.013881941936264075	0.01824193548387143	0.003881941936264075	0.022123877420135503
5.7	5.718377049180329	0.01	0.013604734359584671	0.01837704918032923	0.003604734359584671	0.021981783539913903
5.8	5.818450000000001	0.01	0.01340010898064312	0.01845000000000141	0.0034001089806431194	0.02185010898064453
5.9	5.918416666666667	0.01	0.013307294590832816	0.01841666666666697	0.0033072945908328155	0.021723961257499785
6.0	6.018542372881354	0.01	0.01300870778877655	0.018542372881354297	0.0030087077887765504	0.021551080670130847
6.1	6.118672413793106	0.01	0.012733012159903157	0.018672413793106024	0.0027330121599031566	0.02140542595300918
6.2	6.218534482758619	0.01	0.01272940538985441	0.018534482758618687	0.00272940538985441	0.021263888148473097
6.3	6.3186842105263175	0.01	0.01243259116206829	0.018684210526317635	0.0024325911620682907	0.021116801688385926
6.4	6.418732142857141	0.01	0.012275564348947098	0.01873214285714031	0.0022755643489470977	0.021007707206087408
6.5	6.518927272727273	0.01	0.01193052267195417	0.018927272727273348	0.0019305226719541699	0.020857795399227518
6.6	6.6190185185185175	0.01	0.011678600802036046	0.01901851851851788	0.0016786008020360458	0.020697119320553924
6.7	6.718777777777775	0.01	0.011813790997582346	0.018777777777774673	0.0018137909975823457	0.02059156877535702
6.8	6.8188490566037725	0.01	0.011557461990334156	0.018849056603772674	0.0015574619903341563	0.02040651859410683
6.9	6.919038461538463	0.01	0.011253991046784428	0.01903846153846267	0.0012539910467844282	0.020292452585247096
7.0	7.019098039215686	0.01	0.01105105088405986	0.019098039215686313	0.0010510508840598596	0.02014909009974617
7.1	7.119179999999997	0.01	0.010802824396763942	0.019179999999997754	0.0008028243967639417	0.019982824396761696
7.2	7.219265306122451	0.01	0.010572649595241953	0.01926530612245081	0.0005726495952419527	0.019837955717692764
7.3	7.319061224489797	0.01	0.010572248777137805	0.01906122448979719	0.0005722487771378047	0.019633473266934993
7.4	7.419125	0.01	0.010356061662499699	0.019124999999999837	0.00035606166249969873	0.019481061662499535
7.5	7.519255319148938	0.01	0.010028961145551513	0.019255319148937744	2.8961145551512774e-05	0.019284280294489257
7.6	7.61932608695652	0.01	0.009772853751564522	0.019326086956520605	0.00022714624843547804	0.019553233204956083
7.7	7.719400000000004	0.01	0.009593131506103815	0.019400000000003637	0.00040686849389618557	0.019806868493899822
7.8	7.81947727272727	0.01	0.009304534007923733	0.01947727272727029	0.0006954659920762676	0.020172738719346557
7.9	7.919511627906978	0.01	0.009084990809825208	0.01951162790697758	0.0009150091901747922	0.020426637097152374
8.0	8.019523809523808	0.01	0.008892557261226284	0.0195238095238075	0.001107442738773716	0.020631252262581216
8.1	8.119536585365852	0.01	0.008682630666837733	0.019536585365852233	0.0013173693331622674	0.0208539546990145
8.2	8.219550000000005	0.01	0.008458948279688749	0.01955000000000595	0.0015410517203112515	0.0210910517203172
8.3	8.319921052631576	0.01	0.007983314389955918	0.01992105263157562	0.002016685610044082	0.0219377382416197
8.4	8.41991891891892	0.01	0.007755227380535527	0.01991891891892017	0.0022447726194644736	0.02216369153838464
8.5	8.519888888888888	0.01	0.007575413118332479	0.019888888888887735	0.0024245868816675214	0.022313475770555258
8.6	8.61982857142857	0.01	0.00745002936576946	0.01982857142857064	0.00254997063423054	0.022378542062801182
8.7	8.71979411764706	0.01	0.007133939181814606	0.01979411764706107	0.0028660608181853946	0.022660178465246466
8.8	8.820156249999998	0.01	0.0065713606211207564	0.020156249999997655	0.0034286393788792438	0.0235848893788769
8.9	8.92003225806452	0.01	0.0063820252786981075	0.02003225806451958	0.0036179747213018927	0.023650232785821474
9.0	9.0197	0.01	0.006252514768360058	0.019700000000000273	0.0037474852316399425	0.023447485231640215
9.1	9.12010714285714	0.01	0.005755598190667771	0.02010714285714066	0.004244401809332229	0.024351544666472887
9.2	9.220384615384619	0.01	0.005304648410259913	0.020384615384619664	0.004695351589740087	0.02507996697435975
9.3	9.319999999999999	0.01	0.005200151904251901	0.019999999999997797	0.004799848095748099	0.024799848095745897
9.4	9.420173913043481	0.01	0.004711772398757873	0.020173913043480596	0.005288227601242127	0.02546214064472272
9.5	9.520238095238096	0.01	0.00433163606633383	0.02023809523809561	0.0056683639336661705	0.02590645917176178
9.6	9.619894736842104	0.01	0.004016557337398898	0.01989473684210452	0.005983442662601102	0.025878179504705622
9.7	9.720500000000003	0.01	0.0032392227047292428	0.020500000000003737	0.006760777295270757	0.027260777295274496
9.8	9.820307692307692	0.01	0.0027335875828066666	0.020307692307691028	0.007266412417193334	0.027574104724884363
9.9	9.920111111111108	0.01	0.0019347512108851507	0.02011111111110786	0.00806524878911485	0.02817635990022271
10.0	9.994499999999999	0.01	0.0007784920485933833	0.005500000000001393	0.009221507951406617	0.01472150795140801
0.0	0.02926737967914437	0.02	0.047204259109455006	0.02926737967914437	0.027204259109455006	0.05647163878859937
0.1	0.12945698924731186	0.02	0.04682050270044939	0.029456989247311854	0.026820502700449392	0.05627749194776124
0.2	0.22960540540540542	0.02	0.0465072593164438	0.029605405405405405	0.026507259316443797	0.0561126647218492
0.3	0.32974999999999993	0.02	0.04617933953088165	0.029749999999999943	0.02617933953088165	0.0559293395308816
0.4	0.42991256830601104	0.02	0.045743657561686094	0.029912568306011023	0.025743657561686093	0.05565622586769711
0.5	0.5300109890109893	0.02	0.04550891689596393	0.03001098901098931	0.02550891689596393	0.05551990590695324
0.6	0.6301657458563539	0.02	0.04515363891849557	0.0301657458563539	0.025153638918495567	0.05531938477484946
0.7	0.7303500000000002	0.02	0.04476924041095825	0.03035000000000021	0.024769240410958248	0.05511924041095846
0.8	0.8305251396648043	0.02	0.044311935166247124	0.0305251396648043	0.024311935166247124	0.05483707483105142
0.9	0.9306460674157313	0.02	0.044037402334958224	0.030646067415731282	0.024037402334958224	0.05468346975068951
1.0	1.0307683615819196	0.02	0.0437354070900652	0.030768361581919645	0.023735407090065202	0.05450376867198485
1.1	1.1308920454545464	0.02	0.04341570768921905	0.03089204545454627	0.023415707689219047	0.05430775314376532
1.2	1.2310857142857135	0.02	0.04293942853623875	0.031085714285713495	0.02293942853623875	0.05402514282195224
1.3	1.3312183908045978	0.02	0.04265025045030819	0.031218390804597762	0.022650250450308187	0.05386864125490595
1.4	1.4313410404624287	0.02	0.04234842507753689	0.031341040462428804	0.022348425077536888	0.05368946553996569
1.5	1.5314825581395344	0.02	0.041964414602633456	0.03148255813953438	0.021964414602633455	0.053446972742167836
1.6	1.6315906432748546	0.02	0.041639825136776054	0.0315906432748545	0.021639825136776054	0.05323046841163055
1.7	1.731694117647058	0.02	0.04141136081552098	0.031694117647057984	0.021411360815520978	0.05310547846257896
1.8	1.8318639053254446	0.02	0.04100882874392427	0.031863905325444586	0.021008828743924266	0.05287273406936885
1.9	1.9320119047619049	0.02	0.04062291656918442	0.032011904761904963	0.020622916569184416	0.052634821331089376
2.0	2.0321317365269476	0.02	0.040295011429407036	0.03213173652694756	0.020295011429407036	0.0524267479563546
2.1	2.132240963855421	0.02	0.040025114060349185	0.03224096385542108	0.020025114060349184	0.05226607791577026
2.2	2.232339393939395	0.02	0.039740863364607415	0.03233939393939478	0.019740863364607415	0.05208025730400219
2.3	2.3324390243902426	0.02	0.03940325549196953	0.03243902439024282	0.019403255491969532	0.05184227988221235
2.4	2.4326073619631896	0.02	0.03900268221689724	0.032607361963189696	0.01900268221689724	0.05161004418008694
2.5	2.5327345679012354	0.02	0.038703630289374055	0.03273456790123541	0.018703630289374055	0.05143819819060946
2.6	2.632838509316769	0.02	0.038393053077817166	0.03283850931676913	0.018393053077817165	0.05123156239458629
2.7	2.7331509433962267	0.02	0.03772305303539563	0.033150943396226484	0.01772305303539563	0.05087399643162212
2.8	2.833215189873417	0.02	0.03752400978154865	0.033215189873417206	0.01752400978154865	0.05073919965496586
2.9	2.933305732484078	0.02	0.03722618711783858	0.0333057324840782	0.01722618711783858	0.050531919601916775
3.0	3.0334871794871785	0.02	0.03680294150617497	0.0334871794871785	0.01680294150617497	0.05029012099335346
3.1	3.1335870967741926	0.02	0.036494338616011854	0.03358709677419247	0.016494338616011853	0.05008143539020432
3.2	3.2336818181818208	0.02	0.03621178124657223	0.03368181818182059	0.016211781246572233	0.04989359942839282
3.3	3.3337450980392154	0.02	0.03594310017963179	0.03374509803921555	0.015943100179631787	0.04968819821884733
3.4	3.433842105263159	0.02	0.03564050332943031	0.033842105263159006	0.015640503329430313	0.04948260859258932
3.5	3.53412	0.02	0.035072864738675165	0.03412000000000015	0.015072864738675164	0.04919286473867532
3.6	3.6342818791946305	0.02	0.03467245501001882	0.03428187919463044	0.014672455010018817	0.04895433420464926
3.7	3.734371621621624	0.02	0.03434757712918641	0.03437162162162366	0.014347577129186408	0.04871919875081007
3.8	3.8344625850340126	0.02	0.0340307436024991	0.03446258503401278	0.014030743602499101	0.04849332863651189
3.9	3.9345205479452057	0.02	0.03384407196313852	0.03452054794520576	0.013844071963138516	0.04836461990834427
4.0	4.034551724137931	0.02	0.03357873931137889	0.034551724137931394	0.01357873931137889	0.04813046344931028
4.1	4.134860139860138	0.02	0.032944262743708666	0.034860139860138695	0.012944262743708666	0.04780440260384736
4.2	4.234950704225352	0.02	0.03261375578771456	0.03495070422535207	0.012613755787714561	0.047564460013066634
4.3	4.335035460992905	0.02	0.032367840030304754	0.03503546099290489	0.012367840030304753	0.04740330102320964
4.4	4.435128571428573	0.02	0.03201372315284659	0.035128571428572286	0.01201372315284659	0.04714229458141887
4.5	4.535413043478259	0.02	0.031434607922493696	0.035413043478259354	0.011434607922493695	0.046847651400753046
4.6	4.635467153284673	0.02	0.031143100115635154	0.035467153284673536	0.011143100115635154	0.04661025340030869
4.7	4.7354558823529445	0.02	0.031017059396072945	0.03545588235294428	0.011017059396072944	0.04647294174901723
4.8	4.835496296296293	0.02	0.030715791127937167	0.03549629629629347	0.010715791127937167	0.046212087424230636
4.9	4.935834586466168	0.02	0.030087049376062516	0.03583458646616755	0.010087049376062515	0.045921635842230066
5.0	5.0359015151515125	0.02	0.02979756140752313	0.03590151515151252	0.00979756140752313	0.04569907655903565
5.1	5.135923664122139	0.02	0.02954610493729192	0.03592366412213899	0.00954610493729192	0.04546976905943091
5.2	5.236201550387597	0.02	0.028929772773386746	0.03620155038759698	0.008929772773386746	0.04513132316098373
5.3	5.336210937500001	0.02	0.02871423573113118	0.03621093750000082	0.00871423573113118	0.044925173231132
5.4	5.436204724409451	0.02	0.02851356234597572	0.03620472440945033	0.008513562345975719	0.04471828675542605
5.5	5.536528	0.02	0.027877138238354377	0.03652799999999967	0.007877138238354377	0.04440513823835405
5.6	5.636556451612905	0.02	0.02760051880596942	0.03655645161290533	0.00760051880596942	0.044156970418874744
5.7	5.736803278688526	0.02	0.02709236275471742	0.03680327868852551	0.007092362754717418	0.04389564144324293
5.8	5.836826446280991	0.02	0.02679132345638578	0.0368264462809913	0.006791323456385778	0.04361776973737708
5.9	5.936783333333335	0.02	0.026595037872683917	0.036783333333334944	0.006595037872683916	0.04337837120601886
6.0	6.037033898305084	0.02	0.026030089530406263	0.037033898305083746	0.006030089530406263	0.04306398783549001
