omega	Omega_origin	r	r_origin	d(omega)	d(r)	d(omega-r)
0.0	0.014936170212765948	0.01	0.02363083909652806	0.014936170212765948	0.01363083909652806	0.028567009309294008
0.1	0.11490425531914895	0.01	0.023628843638825107	0.014904255319148949	0.013628843638825107	0.028533098957974054
0.2	0.21507526881720437	0.01	0.02326827586863677	0.015075268817204363	0.013268275868636771	0.028343544685841132
0.3	0.3150322580645161	0.01	0.023315093289527047	0.015032258064516135	0.013315093289527047	0.028347351354043183
0.4	0.415021505376344	0.01	0.023292536751381005	0.015021505376344002	0.013292536751381005	0.02831404212772501
0.5	0.5151521739130436	0.01	0.023010938963836793	0.015152173913043576	0.013010938963836793	0.02816311287688037
0.6	0.6151195652173914	0.01	0.023011305707560558	0.01511956521739144	0.013011305707560558	0.028130870924952
0.7	0.7153406593406593	0.01	0.02258151171152745	0.015340659340659313	0.01258151171152745	0.027922171052186764
0.8	0.8153516483516484	0.01	0.02251316661416844	0.015351648351648373	0.01251316661416844	0.02786481496581681
0.9	0.9155333333333336	0.01	0.02215613815509317	0.015533333333333621	0.01215613815509317	0.027689471488426792
1.0	1.0155222222222222	0.01	0.0221518148309287	0.015522222222222215	0.0121518148309287	0.027674037053150913
1.1	1.1156629213483145	0.01	0.021857787912294417	0.015662921348314374	0.011857787912294417	0.02752070926060879
1.2	1.2156404494382023	0.01	0.021837697572333427	0.01564044943820231	0.011837697572333427	0.027478147010535733
1.3	1.3157954545454547	0.01	0.021532925879434436	0.015795454545454612	0.011532925879434436	0.027328380424889047
1.4	1.415727272727273	0.01	0.021553017526385217	0.015727272727273034	0.011553017526385217	0.027280290253658253
1.5	1.5158965517241376	0.01	0.021241692033983108	0.01589655172413762	0.011241692033983107	0.027138243758120725
1.6	1.6158390804597702	0.01	0.021225093903995088	0.015839080459770116	0.011225093903995087	0.027064174363765202
1.7	1.7159999999999995	0.01	0.020940186187353008	0.01599999999999957	0.010940186187353007	0.026940186187352576
1.8	1.8161764705882364	0.01	0.020570017487600303	0.016176470588236347	0.010570017487600303	0.02674648807583665
1.9	1.9161647058823512	0.01	0.020582125442963665	0.016164705882351305	0.010582125442963665	0.026746831325314968
2.0	2.0163452380952385	0.01	0.02018114105354119	0.016345238095238468	0.010181141053541188	0.026526379148779658
2.1	2.1163452380952377	0.01	0.0201483380089194	0.01634523809523758	0.010148338008919401	0.02649357610415698
